gene_id	type
YDR005C	non_essential
YDR006C	non_essential
YDR007W	non_essential
YDR008C	non_essential
YDR009W	non_essential
YDR010C	non_essential
YDR011W	non_essential
YDR012W	non_essential
YDR013W	essential
YDR014W	non_essential
YDR014W-A	non_essential
YDR015C	non_essential
YDR016C	essential
YDR017C	non_essential
YDR018C	non_essential
YDR019C	non_essential
YDR020C	non_essential
YDR021W	essential
YDR022C	non_essential
YDR023W	essential
YDR024W	non_essential
YDR025W	non_essential
YDR026C	non_essential
YDR027C	non_essential
YDR028C	non_essential
YDR029W	non_essential
YDR030C	non_essential
YDR031W	non_essential
YDR032C	non_essential
YDR033W	non_essential
YDR034C	non_essential
YDR034C-A	non_essential
YDR034W-B	non_essential
YDR035W	non_essential
YDR036C	non_essential
YDR037W	essential
YDR038C	non_essential
YDR039C	non_essential
YDR040C	non_essential
YDR041W	essential
YDR042C	non_essential
YDR043C	non_essential
YDR044W	essential
YDR045C	essential
YDR046C	non_essential
YDR047W	essential
YDR048C	non_essential
YDR049W	non_essential
YDR050C	essential
YDR051C	non_essential
YDR052C	essential
YDR053W	essential
YDR054C	essential
YDR055W	non_essential
YDR056C	non_essential
YDR057W	non_essential
YDR058C	non_essential
YDR059C	non_essential
YDR060W	essential
YDR061W	non_essential
YDR062W	essential
YDR063W	non_essential
YDR064W	essential
YDR065W	non_essential
YDR066C	non_essential
YDR067C	non_essential
YDR068W	non_essential
YDR069C	non_essential
YDR070C	non_essential
YDR071C	non_essential
YDR072C	non_essential
YDR073W	non_essential
YDR074W	non_essential
YDR075W	non_essential
YDR076W	non_essential
YDR077W	non_essential
YDR078C	non_essential
YDR079C-A	non_essential
YDR079W	non_essential
YDR080W	non_essential
YDR081C	essential
YDR082W	essential
YDR083W	non_essential
YDR084C	non_essential
YDR085C	non_essential
YDR086C	essential
YDR087C	essential
YDR088C	essential
YDR089W	non_essential
YDR090C	non_essential
YDR091C	essential
YDR092W	non_essential
YDR093W	non_essential
YDR094W	non_essential
YDR095C	non_essential
YDR096W	non_essential
YDR097C	non_essential
YDR098C	non_essential
YDR099W	non_essential
YDR100W	non_essential
YDR101C	non_essential
YDR102C	non_essential
YDR103W	non_essential
YDR104C	non_essential
YDR105C	non_essential
YDR106W	non_essential
YDR107C	non_essential
YDR108W	non_essential
YDR109C	non_essential
YDR110W	non_essential
YDR111C	non_essential
YDR112W	non_essential
YDR113C	essential
YDR114C	non_essential
YDR115W	non_essential
YDR116C	non_essential
YDR117C	non_essential
YDR118W	essential
YDR118W-A	non_essential
YDR119W	non_essential
YDR119W-A	non_essential
YDR120C	non_essential
YDR121W	non_essential
YDR122W	non_essential
YDR123C	essential
YDR124W	non_essential
YDR125C	non_essential
YDR126W	non_essential
YDR127W	non_essential
YDR128W	non_essential
YDR129C	non_essential
YDR130C	essential
YDR131C	non_essential
YDR132C	non_essential
YDR133C	non_essential
YDR135C	non_essential
YDR136C	non_essential
YDR137W	non_essential
YDR138W	non_essential
YDR139C	non_essential
YDR140W	non_essential
YDR141C	essential
YDR142C	non_essential
YDR143C	non_essential
YDR144C	non_essential
YDR145W	essential
YDR146C	non_essential
YDR147W	non_essential
YDR148C	non_essential
YDR149C	non_essential
YDR150W	non_essential
YDR151C	essential
YDR152W	non_essential
YDR153C	non_essential
YDR154C	non_essential
YDR155C	non_essential
YDR156W	non_essential
YDR157W	non_essential
YDR158W	non_essential
YDR159W	non_essential
YDR160W	essential
YDR161W	non_essential
YDR162C	non_essential
YDR163W	non_essential
YDR164C	essential
YDR165W	non_essential
YDR166C	essential
YDR167W	essential
YDR168W	essential
YDR169C	non_essential
YDR169C-A	non_essential
YDR170C	essential
YDR171W	non_essential
YDR172W	essential
YDR173C	non_essential
YDR174W	non_essential
YDR175C	non_essential
YDR176W	non_essential
YDR177W	essential
YDR178W	non_essential
YDR179C	non_essential
YDR179W-A	non_essential
YDR180W	essential
YDR181C	non_essential
YDR182W	essential
YDR182W-A	non_essential
YDR183C-A	non_essential
YDR183W	non_essential
YDR184C	non_essential
YDR185C	non_essential
YDR186C	non_essential
YDR187C	essential
YDR188W	essential
YDR189W	essential
YDR190C	essential
YDR191W	non_essential
YDR192C	non_essential
YDR193W	non_essential
YDR194C	non_essential
YDR194W-A	non_essential
YDR195W	non_essential
YDR196C	essential
YDR197W	non_essential
YDR198C	non_essential
YDR199W	non_essential
YDR200C	non_essential
YDR201W	essential
YDR202C	non_essential
YDR203W	non_essential
YDR204W	non_essential
YDR205W	non_essential
YDR206W	non_essential
YDR207C	non_essential
YDR208W	essential
YDR209C	non_essential
YDR210W	non_essential
YDR211W	essential
YDR212W	essential
YDR213W	non_essential
YDR214W	non_essential
YDR215C	non_essential
YDR216W	non_essential
YDR217C	non_essential
YDR218C	non_essential
YDR219C	non_essential
YDR220C	non_essential
YDR221W	non_essential
YDR222W	non_essential
YDR223W	non_essential
YDR224C	essential
YDR225W	non_essential
YDR226W	essential
YDR227W	non_essential
YDR228C	essential
YDR229W	non_essential
YDR230W	non_essential
YDR231C	essential
YDR232W	essential
YDR233C	essential
YDR234W	non_essential
YDR235W	essential
YDR236C	essential
YDR237W	non_essential
YDR238C	essential
YDR239C	non_essential
YDR240C	essential
YDR241W	essential
YDR242W	non_essential
YDR243C	essential
YDR244W	non_essential
YDR245W	non_essential
YDR246W	essential
YDR246W-A	non_essential
YDR247W	non_essential
YDR248C	non_essential
YDR249C	non_essential
YDR250C	non_essential
YDR251W	non_essential
YDR252W	non_essential
YDR253C	non_essential
YDR254W	non_essential
YDR255C	non_essential
YDR256C	non_essential
YDR257C	non_essential
YDR258C	non_essential
YDR259C	non_essential
YDR260C	non_essential
YDR261C	non_essential
YDR262W	non_essential
