Gene.featureType	Gene.primaryIdentifier	Gene.secondaryIdentifier	Gene.organism.shortName	Gene.symbol	Gene.name	Gene.sgdAlias
ORF	S000002432	YDR025W	S. cerevisiae	RPS11A	Ribosomal Protein of the Small subunit	ribosomal 40S subunit protein S11A|rp41A|S11A|S17|S18A|uS17|YS12
ORF	S000002433	YDR026C	S. cerevisiae	NSI1	NTS1 SIlencing protein	YTT1
ORF	S000002434	YDR027C	S. cerevisiae	VPS54	Vacuolar Protein Sorting	CGP1|LUV1|TCS3
ORF	S000002435	YDR028C	S. cerevisiae	REG1	REsistance to Glucose repression	HEX2|protein phosphatase regulator REG1|PZF240|SPP43|SRN1
ORF	S000002436	YDR029W	S. cerevisiae	""	""	""
ORF	S000002437	YDR030C	S. cerevisiae	RAD28	RADiation sensitive	""
ORF	S000002438	YDR031W	S. cerevisiae	MIX14	Mitochondrial Intermembrane space CX(n)C motif protein	MIC14
ORF	S000002439	YDR032C	S. cerevisiae	PST2	Protoplasts-SecreTed	flavodoxin-like fold family protein
ORF	S000002440	YDR033W	S. cerevisiae	MRH1	Membrane protein Related to Hsp30p	""
ORF	S000002441	YDR034C	S. cerevisiae	LYS14	LYSine requiring	""
ORF	S000002442	YDR035W	S. cerevisiae	ARO3	AROmatic amino acid requiring	3-deoxy-7-phosphoheptulonate synthase ARO3
ORF	S000002443	YDR036C	S. cerevisiae	EHD3	""	mitochondrial 37S ribosomal protein EHD3|MRP5|mS47
ORF	S000002444	YDR037W	S. cerevisiae	KRS1	Lysyl (K) tRNA Synthetase	GCD5|lysine--tRNA ligase KRS1
ORF	S000002445	YDR038C	S. cerevisiae	ENA5	Exitus NAtru (Latin, "exit sodium")	putative Na(+)-exporting P-type ATPase ENA5
ORF	S000002446	YDR039C	S. cerevisiae	ENA2	Exitus NAtru (Latin, "exit sodium")	Na(+)-exporting P-type ATPase ENA2
ORF	S000002447	YDR040C	S. cerevisiae	ENA1	Exitus NAtru (Latin, "exit sodium")	HOR6|Na(+)/Li(+)-exporting P-type ATPase ENA1|PMR2
ORF	S000002448	YDR041W	S. cerevisiae	RSM10	Ribosomal Small subunit of Mitochondria	mitochondrial 37S ribosomal protein RSM10|uS10m
ORF	S000002449	YDR042C	S. cerevisiae	""	""	""
ORF	S000002450	YDR043C	S. cerevisiae	NRG1	Negative Regulator of Glucose-repressed genes	transcriptional regulator NRG1
ORF	S000002451	YDR044W	S. cerevisiae	HEM13	HEMe biosynthesis	coproporphyrinogen oxidase
ORF	S000002452	YDR045C	S. cerevisiae	RPC11	RNA Polymerase C	C11|DNA-directed RNA polymerase III core subunit RPC11
ORF	S000002453	YDR046C	S. cerevisiae	BAP3	Branched-chain Amino acid Permease	amino acid transporter BAP3|PAP1
ORF	S000002454	YDR047W	S. cerevisiae	HEM12	HEMe biosynthesis	HEM6|uroporphyrinogen decarboxylase HEM12
ORF	S000002455	YDR048C	S. cerevisiae	""	""	""
ORF	S000002456	YDR049W	S. cerevisiae	VMS1	VCP/Cdc48-associated Mitochondrial Stress-responsive	""
ORF	S000002457	YDR050C	S. cerevisiae	TPI1	Triose-Phosphate Isomerase	triose-phosphate isomerase TPI1
ORF	S000002458	YDR051C	S. cerevisiae	DET1	Decreased Ergosterol Transport	acid phosphatase DET1
ORF	S000002459	YDR052C	S. cerevisiae	DBF4	DumbBell Former	DNA52|LSD7|protein serine/threonine kinase activating protein DBF4
ORF	S000002460	YDR053W	S. cerevisiae	""	""	""
ORF	S000002461	YDR054C	S. cerevisiae	CDC34	Cell Division Cycle	DNA6|SCF E2 ubiquitin-protein ligase catalytic subunit CDC34|UBC3
ORF	S000002462	YDR055W	S. cerevisiae	PST1	Protoplasts-SecreTed	HPF2
ORF	S000002463	YDR056C	S. cerevisiae	EMC10	ER Membrane protein Complex	""
ORF	S000002464	YDR057W	S. cerevisiae	YOS9	Yeast OS-9 homolog	""
ORF	S000002465	YDR058C	S. cerevisiae	TGL2	TriacylGlycerol Lipase	triglyceride lipase
ORF	S000002466	YDR059C	S. cerevisiae	UBC5	UBiquitin-Conjugating	E2 ubiquitin-conjugating protein UBC5
ORF	S000002467	YDR060W	S. cerevisiae	MAK21	MAintenance of Killer	NOC1|RNA-binding ribosome biosynthesis protein MAK21
ORF	S000002468	YDR061W	S. cerevisiae	""	""	""
ORF	S000002469	YDR062W	S. cerevisiae	LCB2	Long-Chain Base	SCS1|serine C-palmitoyltransferase LCB2|TSC1
ORF	S000002470	YDR063W	S. cerevisiae	AIM7	Altered Inheritance rate of Mitochondria	GMF|GMF1
ORF	S000002471	YDR064W	S. cerevisiae	RPS13	Ribosomal Protein of the Small subunit	ribosomal 40S subunit protein S13|RPS13B|RPS13C|S13|S15|S27a|uS15|YS15
ORF	S000002472	YDR065W	S. cerevisiae	RRG1	Required for Respiratory Growth	MTA2
ORF	S000002473	YDR066C	S. cerevisiae	RTR2	Regulator of TRanscription	putative protein-serine/threonine phosphatase
ORF	S000002474	YDR067C	S. cerevisiae	OCA6	Oxidant-induced Cell-cycle Arrest	protein-tyrosine-phosphatase
ORF	S000002475	YDR068W	S. cerevisiae	DOS2	""	""
ORF	S000002476	YDR069C	S. cerevisiae	DOA4	Degradation Of Alpha	DOS1|MUT4|NPI2|SSV7|ubiquitin-specific protease DOA4|UBP4
ORF	S000002477	YDR070C	S. cerevisiae	FMP16	Found in Mitochondrial Proteome	""
ORF	S000002478	YDR071C	S. cerevisiae	PAA1	PolyAmine Acetyltransferase	polyamine acetyltransferase
ORF	S000002479	YDR072C	S. cerevisiae	IPT1	InositolPhosphoTransferase	inositolphosphotransferase|KTI6|MIC2|SYR4
ORF	S000002480	YDR073W	S. cerevisiae	SNF11	Sucrose NonFermenting	""
ORF	S000002481	YDR074W	S. cerevisiae	TPS2	Trehalose-6-Phosphate Synthase/phosphatase	HOG2|PFK3|trehalose-phosphatase TPS2
ORF	S000002482	YDR075W	S. cerevisiae	PPH3	Protein PHosphatase	phosphoprotein phosphatase PP4 catalytic subunit PPH3
ORF	S000002483	YDR076W	S. cerevisiae	RAD55	RADiation sensitive	putative DNA-dependent ATPase RAD55
ORF	S000002484	YDR077W	S. cerevisiae	SED1	Suppression of Exponential Defect	""
ORF	S000002485	YDR078C	S. cerevisiae	SHU2	Suppressor of HydroxyUrea sensitivity	""
ORF	S000002486	YDR079W	S. cerevisiae	PET100	PETite colonies	""
ORF	S000002487	YDR080W	S. cerevisiae	VPS41	Vacuolar Protein Sorting	CVT8|FET2|SVL2|VAM2|VPL20
ORF	S000002488	YDR081C	S. cerevisiae	PDC2	Pyruvate DeCarboxylase	""
ORF	S000002489	YDR082W	S. cerevisiae	STN1	Suppressor of cdc ThirteeN	""
ORF	S000002490	YDR083W	S. cerevisiae	RRP8	Ribosomal RNA Processing	25S rRNA (adenine645-N1)-methyltransferase
ORF	S000002491	YDR084C	S. cerevisiae	TVP23	Tlg2-Vesicle Protein	""
ORF	S000002492	YDR085C	S. cerevisiae	AFR1	Alpha-Factor Receptor regulator	""
ORF	S000002493	YDR086C	S. cerevisiae	SSS1	Sec Sixty-one Suppressor	translocon subunit SSS1
ORF	S000002494	YDR087C	S. cerevisiae	RRP1	Ribosomal RNA Processing	""
ORF	S000002495	YDR088C	S. cerevisiae	SLU7	Synergistic Lethal with U5 snRNA	mRNA splicing protein SLU7|SLT17
ORF	S000002496	YDR089W	S. cerevisiae	VTC5	Vacuole Transporter Chaperone	""
ORF	S000002497	YDR090C	S. cerevisiae	ILT1	Ionic Liquid Tolerance	""
ORF	S000002498	YDR091C	S. cerevisiae	RLI1	RNase L Inhibitor	Fe-S cluster-binding ribosome biosynthesis protein
ORF	S000002499	YDR092W	S. cerevisiae	UBC13	UBiquitin-Conjugating	E2 ubiquitin-conjugating protein UBC13
ORF	S000002500	YDR093W	S. cerevisiae	DNF2	Drs2 Neo1 Family	aminophospholipid-translocating P4-type ATPase DNF2
ORF	S000002501	YDR094W	S. cerevisiae	""	""	""
ORF	S000002502	YDR095C	S. cerevisiae	""	""	""
ORF	S000002503	YDR096W	S. cerevisiae	GIS1	GIg1-2 Suppressor	histone demethylase GIS1
ORF	S000002504	YDR097C	S. cerevisiae	MSH6	MutS Homolog	mismatch repair ATPase MSH6|PMS3|PMS6
ORF	S000002505	YDR098C	S. cerevisiae	GRX3	GlutaRedoXin	monothiol glutaredoxin GRX3
ORF	S000002506	YDR099W	S. cerevisiae	BMH2	Brain Modulosignalin Homolog	14-3-3 family protein BMH2|SCD3
ORF	S000002507	YDR100W	S. cerevisiae	TVP15	Tlg2-Vesicle Protein	""
ORF	S000002508	YDR101C	S. cerevisiae	ARX1	Associated with Ribosomal eXport complex	putative hydrolase
