Gene.featureType	Gene.primaryIdentifier	Gene.secondaryIdentifier	Gene.organism.shortName	Gene.symbol	Gene.name	Gene.sgdAlias
ORF	S000000166	YBL070C	S. cerevisiae	""	""	""
ORF	S000000167	YBL071C	S. cerevisiae	""	""	""
ORF	S000000168	YBL072C	S. cerevisiae	RPS8A	Ribosomal Protein of the Small subunit	eS8|ribosomal 40S subunit protein S8A|rp19|S14A|S8A|S8e|YS9
ORF	S000000169	YBL073W	S. cerevisiae	""	""	""
ORF	S000000170	YBL074C	S. cerevisiae	AAR2	A1-Alpha2 Repression	U5 snRNP complex subunit AAR2
ORF	S000000171	YBL075C	S. cerevisiae	SSA3	Stress-Seventy subfamily A	Hsp70 family ATPase SSA3|YG106
ORF	S000000172	YBL076C	S. cerevisiae	ILS1	IsoLeucine-tRNA Synthetase	isoleucine--tRNA ligase ILS1
ORF	S000000173	YBL077W	S. cerevisiae	""	""	""
ORF	S000000174	YBL078C	S. cerevisiae	ATG8	AuTophaGy related	APG8|AUT7|CVT5|ubiquitin-like protein ATG8
ORF	S000000175	YBL079W	S. cerevisiae	NUP170	NUclear Pore	NLE3
ORF	S000000176	YBL080C	S. cerevisiae	PET112	PETite colonies	glutamyl-tRNA(Gln) amidotransferase subunit PET112
ORF	S000000177	YBL081W	S. cerevisiae	""	""	""
ORF	S000000178	YBL082C	S. cerevisiae	ALG3	Asparagine Linked Glycosylation	dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichol alpha-1,3-mannosyltransferase|RHK1
ORF	S000000179	YBL083C	S. cerevisiae	""	""	""
ORF	S000000180	YBL084C	S. cerevisiae	CDC27	Cell Division Cycle	anaphase promoting complex subunit CDC27|APC3|SNB1
ORF	S000000181	YBL085W	S. cerevisiae	BOI1	Bem1 (One) Interacting protein	BOB1|GIN7
ORF	S000000182	YBL086C	S. cerevisiae	""	""	""
ORF	S000000183	YBL087C	S. cerevisiae	RPL23A	Ribosomal Protein of the Large subunit	L14|L17aA|L23A|ribosomal 60S subunit protein L23A|uL14|YL32
ORF	S000000184	YBL088C	S. cerevisiae	TEL1	TELomere maintenance	DNA-binding protein kinase TEL1
ORF	S000000185	YBL089W	S. cerevisiae	AVT5	Amino acid Vacuolar Transport	amino acid transporter
ORF	S000000186	YBL090W	S. cerevisiae	MRP21	Mitochondrial Ribosomal Protein	bS21m|mitochondrial 37S ribosomal protein MRP21|MRP50
ORF	S000000187	YBL091C	S. cerevisiae	MAP2	Methionine AminoPeptidase	methionine aminopeptidase
ORF	S000000188	YBL092W	S. cerevisiae	RPL32	Ribosomal Protein of the Large subunit	eL32|L32|L32e|ribosomal 60S subunit protein L32
ORF	S000000189	YBL093C	S. cerevisiae	ROX3	Regulation by OXygen	MED19|NUT3|RMR1|SSN7|SSX2
ORF	S000000190	YBL094C	S. cerevisiae	""	""	""
ORF	S000000191	YBL095W	S. cerevisiae	MRX3	Mitochondrial oRganization of gene eXpression (MIOREX)	""
ORF	S000000192	YBL096C	S. cerevisiae	""	""	""
ORF	S000000193	YBL097W	S. cerevisiae	BRN1	homolog of BaRreN	condensin subunit BRN1
ORF	S000000194	YBL098W	S. cerevisiae	BNA4	Biosynthesis of Nicotinic Acid	kynurenine 3-monooxygenase
ORF	S000000195	YBL099W	S. cerevisiae	ATP1	ATP synthase	F1F0 ATP synthase subunit alpha
ORF	S000000196	YBL100C	S. cerevisiae	""	""	""
ORF	S000000197	YBL101C	S. cerevisiae	ECM21	ExtraCellular Mutant	ART2
ORF	S000000198	YBL102W	S. cerevisiae	SFT2	Suppressor of sed Five Ts	""
ORF	S000000199	YBL103C	S. cerevisiae	RTG3	ReTroGrade regulation	""
ORF	S000000200	YBL104C	S. cerevisiae	SEA4	SEh1-Associated	YBL103C-A
ORF	S000000201	YBL105C	S. cerevisiae	PKC1	Protein Kinase C	CLY15|CLY5|CLY7|HPO2|protein kinase C|RSF8|STT1
ORF	S000000202	YBL106C	S. cerevisiae	SRO77	Suppressor of rho3	putative Rab GTPase-binding protein SRO77|SNI2|SOP2
ORF	S000000203	YBL107C	S. cerevisiae	MIX23	Mitochondrial Intermembrane space CX(n)C motif protein	MIC23
ORF	S000000204	YBL108W	S. cerevisiae	""	""	""
ORF	S000000205	YBR001C	S. cerevisiae	NTH2	Neutral TreHalase	alpha,alpha-trehalase NTH2
ORF	S000000206	YBR002C	S. cerevisiae	RER2	Retention in the Endoplasmic Reticulum	ditrans,polycis-polyprenyl diphosphate synthase
ORF	S000000207	YBR003W	S. cerevisiae	COQ1	COenzyme Q	trans-hexaprenyltranstransferase
ORF	S000000208	YBR004C	S. cerevisiae	GPI18	GlycosylPhosphatidylInositol	FMP44|GPI-anchor transamidase GPI18
ORF	S000000209	YBR005W	S. cerevisiae	RCR1	Resistance to Congo Red	SSH6
ORF	S000000210	YBR006W	S. cerevisiae	UGA2	Utilization of GAba	succinate-semialdehyde dehydrogenase (NAD(P)(+))|UGA5
ORF	S000000211	YBR007C	S. cerevisiae	DSF2	Deletion Suppressor of mptFive/pufFive mutation	""
ORF	S000000212	YBR008C	S. cerevisiae	FLR1	FLuconazole Resistance	""
ORF	S000000213	YBR009C	S. cerevisiae	HHF1	Histone H Four	histone H4
ORF	S000000214	YBR010W	S. cerevisiae	HHT1	Histone H Three	BUR5|histone H3|SIN2
ORF	S000000215	YBR011C	S. cerevisiae	IPP1	Inorganic PyroPhosphatase	inorganic diphosphatase IPP1|PPA1
ORF	S000000216	YBR012C	S. cerevisiae	""	""	""
ORF	S000000217	YBR013C	S. cerevisiae	""	""	""
ORF	S000000218	YBR014C	S. cerevisiae	GRX7	GlutaRedoXin	glutathione-disulfide reductase GRX7
ORF	S000000219	YBR015C	S. cerevisiae	MNN2	MaNNosyltransferase	alpha-1,2-mannosyltransferase MNN2|CRV4|LDB8|TTP1
ORF	S000000220	YBR016W	S. cerevisiae	CPP1	C-terminally Palmitoylated Protein	cysteine-rich palmitoylated domain-containing protein CPP1
ORF	S000000221	YBR017C	S. cerevisiae	KAP104	KAryoPherin	""
ORF	S000000222	YBR018C	S. cerevisiae	GAL7	GALactose metabolism	UDP-glucose:hexose-1-phosphate uridylyltransferase
ORF	S000000223	YBR019C	S. cerevisiae	GAL10	GALactose metabolism	bifunctional UDP-glucose 4-epimerase/aldose 1-epimerase
ORF	S000000224	YBR020W	S. cerevisiae	GAL1	GALactose metabolism	galactokinase
ORF	S000000225	YBR021W	S. cerevisiae	FUR4	5-FlUoRouridine sensitivity	uracil permease
ORF	S000000226	YBR022W	S. cerevisiae	POA1	Phosphatase Of ADP-ribose 1"-phosphate	ADP-ribose 1''-phosphate phosphatase
ORF	S000000227	YBR023C	S. cerevisiae	CHS3	CHitin Synthase-related	CAL1|chitin synthase CHS3|CSD2|DIT101|KTI2
ORF	S000000228	YBR024W	S. cerevisiae	SCO2	Suppressor of Cytochrome Oxidase deficiency	putative thioredoxin peroxidase SCO2
ORF	S000000229	YBR025C	S. cerevisiae	OLA1	Obg-Like ATPase	Obg-like ATPase
ORF	S000000230	YBR026C	S. cerevisiae	ETR1	2-Enoyl Thioester Reductase	enoyl-[acyl-carrier-protein] reductase|MRF1|MRF1'
ORF	S000000231	YBR027C	S. cerevisiae	""	""	""
ORF	S000000232	YBR028C	S. cerevisiae	YPK3	""	putative protein kinase YPK3
ORF	S000000233	YBR029C	S. cerevisiae	CDS1	CDP-Diacylglycerol Synthase	CDG1|phosphatidate cytidylyltransferase
ORF	S000000234	YBR030W	S. cerevisiae	RKM3	Ribosomal lysine (K) Methyltransferase	protein-lysine N-methyltransferase
ORF	S000000235	YBR031W	S. cerevisiae	RPL4A	Ribosomal Protein of the Large subunit	L2A|L4|L4A|ribosomal 60S subunit protein L4A|rp2|uL4|YL2
ORF	S000000236	YBR032W	S. cerevisiae	""	""	""
ORF	S000000237	YBR033W	S. cerevisiae	EDS1	Expression Dependent on Slt2	""
ORF	S000000238	YBR034C	S. cerevisiae	HMT1	HnRNP MethylTransferase	HCP1|ODP1|protein-arginine omega-N methyltransferase HMT1|RMT1
ORF	S000000239	YBR035C	S. cerevisiae	PDX3	PyriDoXine auxotrophy	pyridoxamine-phosphate oxidase PDX3
ORF	S000000240	YBR036C	S. cerevisiae	CSG2	Calcium Sensitive Growth	CLS2|mannosylinositol phosphorylceramide synthase regulatory subunit
ORF	S000000241	YBR037C	S. cerevisiae	SCO1	Suppressor of Cytochrome Oxidase deficiency	Cu-binding protein SCO1|PET161
ORF	S000000242	YBR038W	S. cerevisiae	CHS2	CHitin Synthase	chitin synthase CHS2
ORF	S000000243	YBR039W	S. cerevisiae	ATP3	ATP synthase	F1F0 ATP synthase subunit gamma
ORF	S000000244	YBR040W	S. cerevisiae	FIG1	Factor-Induced Gene	""
ORF	S000000245	YBR041W	S. cerevisiae	FAT1	FATty acid transporter	long-chain fatty acid transporter FAT1
ORF	S000000246	YBR042C	S. cerevisiae	CST26	Chromosome STability	PSI1|putative acyltransferase
ORF	S000000247	YBR043C	S. cerevisiae	QDR3	QuiniDine Resistance	AQR2
ORF	S000000248	YBR044C	S. cerevisiae	TCM62	TriCarboxylic acid cycle Mutant	""
ORF	S000000249	YBR045C	S. cerevisiae	GIP1	Glc7-Interacting Protein	protein phosphatase regulator GIP1
ORF	S000000250	YBR046C	S. cerevisiae	ZTA1	ZeTA-crystallin	NADPH:quinone reductase
ORF	S000000251	YBR047W	S. cerevisiae	FMP23	Found in Mitochondrial Proteome	""
ORF	S000000252	YBR048W	S. cerevisiae	RPS11B	Ribosomal Protein of the Small subunit	ribosomal 40S subunit protein S11B|rp41B|S11B|S17|S18B|uS17|YS12
ORF	S000000253	YBR049C	S. cerevisiae	REB1	RNA polymerase I Enhancer Binding protein	DNA-binding protein REB1|EBF1|GRF2
ORF	S000000254	YBR050C	S. cerevisiae	REG2	REsistance to Glucose repression	protein phosphatase regulator REG2
ORF	S000000255	YBR051W	S. cerevisiae	""	""	""
ORF	S000000256	YBR052C	S. cerevisiae	RFS1	Rad55 (Fifty-five) Suppressor	flavodoxin-like fold family protein
ORF	S000000257	YBR053C	S. cerevisiae	""	""	""
ORF	S000000258	YBR054W	S. cerevisiae	YRO2	""	""
ORF	S000000259	YBR055C	S. cerevisiae	PRP6	Pre-mRNA Processing	RNA6|TSM7269|U4/U6-U5 snRNP complex subunit PRP6
ORF	S000000260	YBR056W	S. cerevisiae	MRX18	Mitochondrial oRganization of gene eXpression (MIOREX)	17-beta-hydroxysteroid dehydrogenase-like protein
ORF	S000000261	YBR057C	S. cerevisiae	MUM2	MUddled Meiosis	SPOT8
ORF	S000000262	YBR058C	S. cerevisiae	UBP14	UBiquitin-specific Protease	GID6|ubiquitin-specific protease UBP14
ORF	S000000263	YBR059C	S. cerevisiae	AKL1	Ark family Kinase-Like protein	serine/threonine protein kinase AKL1
ORF	S000000264	YBR060C	S. cerevisiae	ORC2	Origin Recognition Complex	origin recognition complex subunit 2|RRR1|SIR5
ORF	S000000265	YBR061C	S. cerevisiae	TRM7	Transfer RNA Methyltransferase	tRNA methyltransferase TRM7
ORF	S000000266	YBR062C	S. cerevisiae	""	""	""
ORF	S000000267	YBR063C	S. cerevisiae	CNM1	Contact Nucleus Mitochondria	""
ORF	S000000268	YBR064W	S. cerevisiae	""	""	""
ORF	S000000269	YBR065C	S. cerevisiae	ECM2	ExtraCellular Mutant	SLT11
ORF	S000000270	YBR066C	S. cerevisiae	NRG2	Negative Regulator of Glucose-controlled genes	""
ORF	S000000271	YBR067C	S. cerevisiae	TIP1	Temperature shock-Inducible Protein	putative lipase
ORF	S000000272	YBR068C	S. cerevisiae	BAP2	Branched-chain Amino acid Permease	branched-chain amino acid permease BAP2
ORF	S000000273	YBR069C	S. cerevisiae	TAT1	Tyrosine and tryptophan Amino acid Transporter	amino acid transporter TAT1|TAP1|VAP1
ORF	S000000274	YBR070C	S. cerevisiae	ALG14	Asparagine Linked Glycosylation	N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase anchoring subunit ALG14
ORF	S000000275	YBR071W	S. cerevisiae	""	""	""
ORF	S000000276	YBR072W	S. cerevisiae	HSP26	Heat Shock Protein	chaperone protein HSP26
ORF	S000000277	YBR073W	S. cerevisiae	RDH54	RaD54 Homolog	DNA-dependent ATPase RDH54|TID1
ORF	S000000278	YBR074W	S. cerevisiae	PFF1	Protease in FXNA-related Family	YBR075W
ORF	S000000280	YBR076W	S. cerevisiae	ECM8	ExtraCellular Mutant	""
ORF	S000000281	YBR077C	S. cerevisiae	SLM4	Synthetic Lethal with Mss4	EGO3|GSE1|NIR1
ORF	S000000282	YBR078W	S. cerevisiae	ECM33	ExtraCellular Mutant	""
ORF	S000000283	YBR079C	S. cerevisiae	RPG1	""	TIF32|translation initiation factor eIF3 core subunit a
ORF	S000000284	YBR080C	S. cerevisiae	SEC18	SECretory	AAA family ATPase SEC18|ANU4
ORF	S000000285	YBR081C	S. cerevisiae	SPT7	SuPpressor of Ty's	GIT2|SAGA histone acetyltransferase complex subunit SPT7
ORF	S000000286	YBR082C	S. cerevisiae	UBC4	UBiquitin-Conjugating	E2 ubiquitin-conjugating protein UBC4
ORF	S000000287	YBR083W	S. cerevisiae	TEC1	Transposon Enhancement Control	ROC1
ORF	S000000288	YBR084W	S. cerevisiae	MIS1	MItochondrial C1-tetrahydrofolate Synthase	trifunctional formate-tetrahydrofolate ligase/methenyltetrahydrofolate cyclohydrolase/methylenetetrahydrofolate dehydrogenase MIS1
ORF	S000000289	YBR085W	S. cerevisiae	AAC3	ADP/ATP Carrier	ADP/ATP carrier protein AAC3|ANC3
ORF	S000000290	YBR086C	S. cerevisiae	IST2	Increased Sodium Tolerance	""
ORF	S000000291	YBR087W	S. cerevisiae	RFC5	Replication Factor C	replication factor C subunit 5
ORF	S000000292	YBR088C	S. cerevisiae	POL30	POLymerase	PCNA|proliferating cell nuclear antigen
ORF	S000000293	YBR089W	S. cerevisiae	""	""	""
ORF	S000000294	YBR090C	S. cerevisiae	""	""	""
ORF	S000000295	YBR091C	S. cerevisiae	TIM12	Translocase of the Inner Membrane	MRS5
ORF	S000000296	YBR092C	S. cerevisiae	PHO3	PHOsphate metabolism	acid phosphatase PHO3|phoC
ORF	S000000297	YBR093C	S. cerevisiae	PHO5	PHOsphate metabolism	acid phosphatase PHO5|phoE
ORF	S000000298	YBR094W	S. cerevisiae	PBY1	P-BodY associated protein	putative tubulin tyrosine ligase
ORF	S000000299	YBR095C	S. cerevisiae	RXT2	""	RAF60
ORF	S000000300	YBR096W	S. cerevisiae	""	""	""
ORF	S000000301	YBR097W	S. cerevisiae	VPS15	Vacuolar Protein Sorting	GRD8|ubiquitin-binding serine/threonine protein kinase VPS15|VAC4|VPL19|VPS40|VPT15
ORF	S000000302	YBR098W	S. cerevisiae	MMS4	Methyl MethaneSulfonate sensitivity	SLX2|YBR100W
ORF	S000000303	YBR099C	S. cerevisiae	""	""	""
ORF	S000000305	YBR101C	S. cerevisiae	FES1	Factor Exchange for Ssa1p	Hsp70 nucleotide exchange factor FES1
ORF	S000000306	YBR102C	S. cerevisiae	EXO84	EXOcyst	exocyst subunit EXO84|USA3
ORF	S000000307	YBR103W	S. cerevisiae	SIF2	Sir4p-Interacting Factor	EMB1
ORF	S000000308	YBR104W	S. cerevisiae	YMC2	Yeast Mitochondrial Carrier	organic acid transporter
ORF	S000000309	YBR105C	S. cerevisiae	VID24	Vacuolar Import and Degradation	GID4|glucose-induced degradation complex subunit VID24
ORF	S000000310	YBR106W	S. cerevisiae	SND3	SRP-iNDependent targeting	PHO88
ORF	S000000311	YBR107C	S. cerevisiae	IML3	Increased Minichromosome Loss	MCM19
ORF	S000000312	YBR108W	S. cerevisiae	AIM3	Altered Inheritance rate of Mitochondria	""
ORF	S000000313	YBR109C	S. cerevisiae	CMD1	CalMoDulin	calmodulin|CaM
ORF	S000000314	YBR110W	S. cerevisiae	ALG1	Asparagine-Linked Glycosylation	chitobiosyldiphosphodolichol beta-1,4 mannosyltransferase
ORF	S000000315	YBR111C	S. cerevisiae	YSA1	""	ADP-ribose diphosphatase|RMA2
ORF	S000000316	YBR112C	S. cerevisiae	CYC8	CYtochrome C	CRT8|[OCT]|[OCT1+]|SSN6|transcription regulator CYC8
ORF	S000000317	YBR113W	S. cerevisiae	""	""	""
ORF	S000000318	YBR114W	S. cerevisiae	RAD16	RADiation sensitive	DNA repair protein RAD16|PSO5
ORF	S000000319	YBR115C	S. cerevisiae	LYS2	LYSine requiring	L-aminoadipate-semialdehyde dehydrogenase
ORF	S000000320	YBR116C	S. cerevisiae	""	""	""
ORF	S000000321	YBR117C	S. cerevisiae	TKL2	TransKetoLase	transketolase TKL2
ORF	S000000322	YBR118W	S. cerevisiae	TEF2	Translation Elongation Factor	eEF1A|EF-1 alpha|translation elongation factor EF-1 alpha
ORF	S000000323	YBR119W	S. cerevisiae	MUD1	Mutant U1 Die	U1A|U1-A
ORF	S000000324	YBR120C	S. cerevisiae	CBP6	Cytochrome B Protein synthesis	""
ORF	S000000325	YBR121C	S. cerevisiae	GRS1	Glycyl-tRNA Synthase	glycine--tRNA ligase
ORF	S000000326	YBR122C	S. cerevisiae	MRPL36	Mitochondrial Ribosomal Protein, Large subunit	bL31m|mitochondrial 54S ribosomal protein YmL36|YmL36
ORF	S000000327	YBR123C	S. cerevisiae	TFC1	Transcription Factor class C	tau 95|transcription factor TFIIIC subunit TFC1
ORF	S000000328	YBR124W	S. cerevisiae	""	""	""
ORF	S000000329	YBR125C	S. cerevisiae	PTC4	Phosphatase Two C	GCT1|type 2C protein phosphatase PTC4
ORF	S000000330	YBR126C	S. cerevisiae	TPS1	Trehalose-6-Phosphate Synthase	alpha,alpha-trehalose-phosphate synthase (UDP-forming) TPS1|BYP1|CIF1|FDP1|GGS1|GLC6|TSS1
ORF	S000000331	YBR127C	S. cerevisiae	VMA2	Vacuolar Membrane Atpase	ATPSV|H(+)-transporting V1 sector ATPase subunit B|VAT2
ORF	S000000332	YBR128C	S. cerevisiae	ATG14	AuTophaGy related	APG14|CVT12
ORF	S000000333	YBR129C	S. cerevisiae	OPY1	Overproduction-induced Pheromone-resistant Yeast	""
ORF	S000000334	YBR130C	S. cerevisiae	SHE3	Swi5p-dependent HO Expression	""
ORF	S000000335	YBR131W	S. cerevisiae	CCZ1	Calcium Caffeine Zinc sensitivity	CVT16
ORF	S000000336	YBR132C	S. cerevisiae	AGP2	high-Affinity Glutamine Permease	""
ORF	S000000337	YBR133C	S. cerevisiae	HSL7	Histone Synthetic Lethal	protein arginine N-methyltransferase
ORF	S000000338	YBR134W	S. cerevisiae	""	""	""
ORF	S000000339	YBR135W	S. cerevisiae	CKS1	Cdc28 Kinase Subunit	cyclin-dependent protein kinase regulatory subunit CKS1
ORF	S000000340	YBR136W	S. cerevisiae	MEC1	Mitosis Entry Checkpoint	ESR1|protein kinase MEC1|RAD31|SAD3
ORF	S000000341	YBR137W	S. cerevisiae	""	""	""
ORF	S000000342	YBR138C	S. cerevisiae	""	""	HDR1
ORF	S000000343	YBR139W	S. cerevisiae	ATG42	AuTophaGy	carboxypeptidase C
ORF	S000000344	YBR140C	S. cerevisiae	IRA1	Inhibitory Regulator of the RAS-cAMP pathway	GLC1|GTPase-activating protein IRA1|PPD1
ORF	S000000345	YBR141C	S. cerevisiae	BMT2	Base MethylTransferase of 25S RNA	25S rRNA (adenine2142-N1)-methyltransferase
ORF	S000000346	YBR142W	S. cerevisiae	MAK5	MAintenance of Killer	putative ATP-dependent RNA helicase
ORF	S000000347	YBR143C	S. cerevisiae	SUP45	SUPpressor	eRF1|SAL4|SUP1|SUP47|translation termination factor eRF1
ORF	S000000348	YBR144C	S. cerevisiae	""	""	""
ORF	S000000349	YBR145W	S. cerevisiae	ADH5	Alcohol DeHydrogenase	alcohol dehydrogenase ADH5
ORF	S000000350	YBR146W	S. cerevisiae	MRPS9	Mitochondrial Ribosomal Protein, Small subunit	mitochondrial 37S ribosomal protein MRPS9|uS9m
ORF	S000000351	YBR147W	S. cerevisiae	RTC2	Restriction of Telomere Capping	cationic amino acid transporter|RRT11|YPQ3
ORF	S000000352	YBR148W	S. cerevisiae	YSW1	""	""
ORF	S000000353	YBR149W	S. cerevisiae	ARA1	D-ARAbinose dehydrogenase	D-arabinose 1-dehydrogenase (NAD(P)(+)) ARA1
ORF	S000000354	YBR150C	S. cerevisiae	TBS1	ThiaBendazole Sensitive	""
ORF	S000000355	YBR151W	S. cerevisiae	APD1	Actin Patches Distal	""
ORF	S000000356	YBR152W	S. cerevisiae	SPP381	Suppressor of PrP38-1	U4/U6-U5 snRNP complex subunit SPP381
ORF	S000000357	YBR153W	S. cerevisiae	RIB7	RIBoflavin biosynthesis	2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase
ORF	S000000358	YBR154C	S. cerevisiae	RPB5	RNA Polymerase B	ABC27|DNA-directed RNA polymerase core subunit RPB5
ORF	S000000359	YBR155W	S. cerevisiae	CNS1	CyclophiliN Seven suppressor	HSP70/90 family co-chaperone CNS1
ORF	S000000360	YBR156C	S. cerevisiae	SLI15	Synthetically Lethal with Ipl1	""
ORF	S000000361	YBR157C	S. cerevisiae	ICS2	Increased Copper Sensitivity	""
ORF	S000000362	YBR158W	S. cerevisiae	AMN1	Antagonist of Mitotic exit Network	CST13|ICS4
ORF	S000000363	YBR159W	S. cerevisiae	IFA38	""	ketoreductase
ORF	S000000364	YBR160W	S. cerevisiae	CDC28	Cell Division Cycle	CDK1|cyclin-dependent serine/threonine-protein kinase CDC28|HSL5|SRM5
ORF	S000000365	YBR161W	S. cerevisiae	CSH1	CSG1/SUR1 Homolog	mannosylinositol phosphorylceramide synthase catalytic subunit CSH1
ORF	S000000366	YBR162C	S. cerevisiae	TOS1	Target Of Sbf	""
ORF	S000000367	YBR163W	S. cerevisiae	EXO5	EXOnuclease V	DEM1
ORF	S000000368	YBR164C	S. cerevisiae	ARL1	ADP-Ribosylation factor-Like	Arf family GTPase ARL1|DLP2
ORF	S000000369	YBR165W	S. cerevisiae	UBS1	UBiquitin-conjugating enzyme Suppressor	""
ORF	S000000370	YBR166C	S. cerevisiae	TYR1	TYRosine	prephenate dehydrogenase (NADP(+))
ORF	S000000371	YBR167C	S. cerevisiae	POP7	Processing Of Precursor RNAs	ribonuclease P/MRP protein subunit POP7|RPP2
ORF	S000000372	YBR168W	S. cerevisiae	PEX32	PEroXisome related	""
ORF	S000000373	YBR169C	S. cerevisiae	SSE2	Stress Seventy subfamily E	adenyl-nucleotide exchange factor SSE2
ORF	S000000374	YBR170C	S. cerevisiae	NPL4	Nuclear Protein Localization	HRD4|nuclear protein localization protein 4
ORF	S000000375	YBR171W	S. cerevisiae	SEC66	SECretory	HSS1|KAR7|Sec63 complex subunit SEC66|SEC71
ORF	S000000376	YBR172C	S. cerevisiae	SMY2	Suppressor of MYo2-66	""
ORF	S000000377	YBR173C	S. cerevisiae	UMP1	Ubiquitin-Mediated Proteolysis	RNS2
ORF	S000000378	YBR174C	S. cerevisiae	""	""	""
ORF	S000000379	YBR175W	S. cerevisiae	SWD3	Set1c, WD40 repeat protein	CPS30|SAF35
ORF	S000000380	YBR176W	S. cerevisiae	ECM31	ExtraCellular Mutant	3-methyl-2-oxobutanoate hydroxymethyltransferase
ORF	S000000381	YBR177C	S. cerevisiae	EHT1	Ethanol Hexanoyl Transferase	medium-chain fatty acid ethyl ester synthase/esterase
ORF	S000000382	YBR178W	S. cerevisiae	""	""	""
ORF	S000000383	YBR179C	S. cerevisiae	FZO1	FuZzy Onions homolog	mitofusin
ORF	S000000384	YBR180W	S. cerevisiae	DTR1	DiTyRosine	""
ORF	S000000385	YBR181C	S. cerevisiae	RPS6B	Ribosomal Protein of the Small subunit	eS6|LPG18|ribosomal 40S subunit protein S6B|RPS101|RPS102|S6e
ORF	S000000386	YBR182C	S. cerevisiae	SMP1	Second MEF2-like Protein	""
ORF	S000000387	YBR183W	S. cerevisiae	YPC1	Yeast Phyto-Ceramidase	phytoceramidase
ORF	S000000388	YBR184W	S. cerevisiae	""	""	""
ORF	S000000389	YBR185C	S. cerevisiae	MBA1	Multi-copy Bypass of AFG3	""
ORF	S000000390	YBR186W	S. cerevisiae	PCH2	Pachytene CHeckpoint	""
ORF	S000000391	YBR187W	S. cerevisiae	GDT1	Gcr1 Dependent Translation factor	putative ribosome biosynthesis protein GDT1
ORF	S000000392	YBR188C	S. cerevisiae	NTC20	Prp19p (NineTeen)-associated Complex	""
ORF	S000000393	YBR189W	S. cerevisiae	RPS9B	Ribosomal Protein of the Small subunit	ribosomal 40S subunit protein S9B|rp21|RPS13A|S13|S4|S9B|SUP46|uS4|YS11
ORF	S000000394	YBR190W	S. cerevisiae	""	""	""
ORF	S000000395	YBR191W	S. cerevisiae	RPL21A	Ribosomal Protein of the Large subunit	eL21|L21A|L21e|ribosomal 60S subunit protein L21A|URP1
ORF	S000000396	YBR192W	S. cerevisiae	RIM2	Replication In Mitochondria	PYT1
ORF	S000000397	YBR193C	S. cerevisiae	MED8	MEDiator complex	""
ORF	S000000398	YBR194W	S. cerevisiae	AIM4	Altered Inheritance rate of Mitochondria	SOY1
ORF	S000000399	YBR195C	S. cerevisiae	MSI1	Multicopy Suppressor of IRA1	CAC3
ORF	S000000400	YBR196C	S. cerevisiae	PGI1	PhosphoGlucoIsomerase	CDC30|glucose-6-phosphate isomerase
