Gene_Symbol	Gene_ID	Haploinsufficiency_Score	Haploinsufficiency_Description	Triplosensitivity_Score	Triplosensitivity_Description	Haploinsufficiency_Disease_ID	Triplosensitivity_Disease_ID
COL9A2	1298	0	No evidence available	0	No evidence available		
COLEC11	78989	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009927	
COLQ	8292	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0011281	
COQ2	27235	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0011829	
CORO1A	11151	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0014168	
COX10	1352	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009723	
COX14	84987	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009068	
COX15	1355	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0014051	
COX20	116228	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009068	
COX6B1	1340	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009068	
CP	1356	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0011426	
CPA4	51200	0	No evidence available	0	No evidence available		
CPA6	57094	0	No evidence available	0	No evidence available		
CPLANE1	65250	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013824	
CPN1	1369	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0008910	
CPS1	1373	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009376	
CPT1A	1374	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009705	
CRADD	8738	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013785	
CREBBP	1387	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0008393	
CRHR1	1394	0	No evidence available	0	No evidence available		
CRIPT	9419	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0014347	
CRKL	1399	1	Little evidence for dosage pathogenicity	0	No evidence available		
CRPPA	729920	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0018276	
CRTAP	10491	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0012536	
CRYBA1	1411	0	No evidence available	0	No evidence available		
CRYBB2	1415	1	Little evidence for dosage pathogenicity	0	No evidence available		
CRYGC	1420	0	No evidence available	0	No evidence available		
CSF2RA	1438	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0012580	
CSF2RA	1438	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0012580	
CSF2RB	1439	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0013712	
CSMD1	64478	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0100038	
CSNK2A1	1457	2	Some evidence for dosage pathogenicity	0	No evidence available	MONDO:0000508	
CSPP1	79848	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0014288	
CSTB	1476	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009698	
CTC1	80169	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0024564	
CTCF	10664	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0000508	
CTDP1	9150	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0011402	
CTH	1491	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009058	
CTNNA1	1495	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0018502	
CTNNA3	29119	0	No evidence available	0	No evidence available	MONDO:0100038	
CTNNB1	1499	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0014035	
CTNND2	1501	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0100038	
CTNS	1497	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0100151	
CTSB	1508	0	No evidence available	0	No evidence available		
CUBN	8029	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0100156	
CUL4B	8450	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010306	
CYB5A	1528	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009605	
CYBB	1536	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010600	
CYLD	1540	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0011512	
CYP21A2	1589	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0008728	
CYP24A1	1591	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0020739	
CYP27A1	1593	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0008948	
CYP3A43	64816	40	Dosage sensitivity unlikely	0	No evidence available		
CYP4F22	126410	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0011485	
CYP4V2	285440	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0008865	
D2HGDH	728294	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0024554	
DARS2	55157	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0012622	
DAZ1	1617	0	No evidence available	0	No evidence available		
DBH	1621	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009123	
DBT	1629	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009563	
DCHS1	8642	1	Little evidence for dosage pathogenicity	0	No evidence available		
DCLRE1C	64421	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0011225	
DCX	1641	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010239	
DCXR	51181	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009846	
DDB2	1643	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0010213	
DDHD1	80821	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0012256	
DDOST	1650	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013789	
DDX3X	1654	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010497	
DDX41	51428	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0014809	
DGKE	8526	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0014005	
DGUOK	1716	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009636	
DHCR7	1717	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0010035	
DHODH	1723	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009903	
DHX57	90957	0	No evidence available	0	No evidence available		
DICER1	23405	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0011014	
DIP2A	23181	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0100038	
DIRAS3	9077	0	No evidence available	0	No evidence available		
DIS3L2	129563	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0009965	
DISC1	27185	0	No evidence available	0	No evidence available		
DISP1	84976	0	No evidence available	0	No evidence available		
DLG2	1740	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0100038	
DLG3	1741	2	Some evidence for dosage pathogenicity	0	No evidence available	MONDO:0010452	
DLGAP2	9228	0	No evidence available	0	No evidence available		
DLK1	8788	0	No evidence available	0	No evidence available		
DLL1	28514	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0032877	
DLX1	1745	0	No evidence available	0	No evidence available		
DLX2	1746	0	No evidence available	0	No evidence available		
DLX5	1749	0	No evidence available	0	No evidence available	MONDO:0009080	
DLX6	1750	0	No evidence available	0	No evidence available	MONDO:0009080	
DMD	1756	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010679	
DMP1	1758	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009430	
DMRT2	10655	0	No evidence available	0	No evidence available		
DMXL2	23312	0	No evidence available	0	No evidence available		
DNAAF1	123872	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013174	
DNAH11	8701	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0012748	
DNAH5	1767	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0012085	
DNAI1	27019	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009484	
DNAI2	64446	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0012906	
DNAJB6	10049	0	No evidence available	0	No evidence available		
DNAJC21	134218	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0014887	
DNAJC28	54943	40	Dosage sensitivity unlikely	0	No evidence available		
DNAJC6	9829	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0014231	
DNASE1	1773	0	No evidence available	0	No evidence available		
DNMT3A	1788	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0014382	
DOCK7	85440	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0014371	
DOCK8	81704	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009478	
DOK7	285489	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009690	
DPAGT1	1798	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0015286	
DPM1	8813	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0012123	
DPM3	54344	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013049	
DPP6	1804	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0014580	
DPYD	1806	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0010130	
DPYS	1807	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009111	
DRD5	1816	0	No evidence available	0	No evidence available		
DSC2	1824	2	Some evidence for dosage pathogenicity	0	No evidence available	MONDO:0012506	
DSC3	1825	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0013136	
DSCAM	1826	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0020643	MONDO:0020643
DSE	29940	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0014236	
DSG4	147409	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0011932	
DSP	1832	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0005021	
DSPP	1834	0	No evidence available	0	No evidence available		
DYM	54808	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0016761	
DYNC2H1	79659	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0013127	
DYNC2I1	55112	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0014214	
DYRK1A	1859	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0013578	
EARS2	124454	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013971	
EBP	10682	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0020603	
EDNRB	1910	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0010192	
EFCAB13	124989	40	Dosage sensitivity unlikely	0	No evidence available		
EFL1	79631	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009833	
EFTUD2	9343	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0012516	
EGFR	1956	0	No evidence available	0	No evidence available		
EGR2	1959	0	No evidence available	0	No evidence available		
EHMT1	79813	3	Sufficient evidence for dosage pathogenicity	1	Little evidence for dosage pathogenicity	MONDO:0027407	
EIF2AK3	9451	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009192	
EIF2B1	1967	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0011380	
EIF2B3	8891	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0011380	
EIF4A3	9775	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009998	
ELANE	1991	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0018542	
ELAVL2	1993	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0100038	
ELK1	2002	0	No evidence available	0	No evidence available		
ELN	2006	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0008504	
ELOA3	162699	0	No evidence available	0	No evidence available		
EMX2	2018	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0010011	
EN2	2020	0	No evidence available	0	No evidence available		
ENO3	2027	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0013046	
ENPP1	5167	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013219	
EP300	2033	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0013364	
EPB42	2038	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0012985	
EPCAM	4072	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013184	
EPM2A	7957	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009697	
EPS8	2059	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0014428	
ERCC1	2067	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0012554	
ERCC2	2068	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0010212	
ERCC3	2071	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0012531	
ERCC5	2073	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0010216	
ERCC6L2	375748	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0014317	
ERCC8	1161	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0019569	
ERF	2077	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010929	
ERMARD	55780	1	Little evidence for dosage pathogenicity	0	No evidence available		
ESCO2	157570	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0100253	
ESPN	83715	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0012170	
ETFB	2109	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009282	
ETFDH	2110	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009282	
EVC2	132884	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009162	
EVX2	344191	0	No evidence available	0	No evidence available		
EXO5	64789	40	Dosage sensitivity unlikely	0	No evidence available		
EXOSC3	51010	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013853	
EXPH5	23086	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0014014	
EXT1	2131	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0007585	
EXT2	2132	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0007586	
EYA1	2138	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0007236	
EYA4	2070	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0011031	
EYS	346007	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0011272	
F10	2159	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009212	
F13A1	2162	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013187	
F13B	2165	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013190	
F5	2153	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009210	
F7	2155	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009211	
F8	2157	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010602	
F9	2158	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010604	
FA2H	79152	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0012866	
FADD	8772	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013408	
FAH	2184	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0010161	
FAM161A	84140	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0011630	
FAM20C	56975	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009821	
FAN1	22909	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013898	
FANCA	2175	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009215	
FANCB	2187	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010351	
FANCC	2176	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009213	
FANCD2	2177	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009214	
FANCE	2178	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0010953	
FANCF	2188	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0011325	
FANCG	2189	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013565	
FANCI	55215	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0012186	
FARS2	10667	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009723	
FAS	355	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0017979	
FBN1	2200	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0007947	
FBP1	2203	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009251	
FBXO7	25793	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009830	
FBXW11	23291	0	No evidence available	1	Little evidence for dosage pathogenicity		
FBXW4	6468	0	No evidence available	0	No evidence available		MONDO:0009525
FGD1	2245	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010589	
FGD4	121512	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0012250	
FGF10	2255	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0007872	
FGF12	2257	0	No evidence available	1	Little evidence for dosage pathogenicity		MONDO:0100062
FGF3	2248	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0012541	
FGFR1	2260	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0007844	
FGFR3	2261	0	No evidence available	0	No evidence available		
FGFRL1	53834	0	No evidence available	0	No evidence available		
FH	2271	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0007888	
FHIT	2272	0	No evidence available	0	No evidence available		
FKBP14	55033	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013800	
FLG	2312	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0015947	
FLNA	2316	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010233	
FLNB	2317	0	No evidence available	0	No evidence available		
FLNC	2318	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0005021	
FLVCR2	55640	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009168	
FMO2	2327	40	Dosage sensitivity unlikely	0	No evidence available		
FMR1	2332	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010383	
FOLR1	2348	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013110	
FOXC1	2296	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0011233	
FOXC2	2303	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0007922	
FOXE1	2304	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009437	
FOXE3	2301	0	No evidence available	0	No evidence available		
FOXF1	2294	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0009934	
FOXG1	2290	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0100040	
FOXL2	668	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0007201	
FOXP1	27086	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0013352	
FOXP2	93986	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0016226	
FOXRED1	55572	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009723	
FRMD7	90167	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010693	
FSHB	2488	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009239	
FTCD	10841	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009240	
FTL	2512	0	No evidence available	0	No evidence available		
FXN	2395	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0100340	
FYCO1	79443	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0012395	
G6PC3	92579	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0012930	
GAA	2548	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009290	
GAB4	128954	40	Dosage sensitivity unlikely	0	No evidence available		
GABRA1	2554	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0100038	
GABRB3	2562	0	No evidence available	0	No evidence available		
GABRG2	2566	1	Little evidence for dosage pathogenicity	0	No evidence available		
GALC	2581	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009499	
GALK1	2584	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009255	
GALNS	2588	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009659	
GALNT12	79695	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0012132	
GALNT3	2591	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0100252	
GALR1	2587	0	No evidence available	0	No evidence available		
GALT	2592	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009258	
GAMT	2593	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0012999	
GAN	8139	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009749	
GATA1	2623	0	No evidence available	0	No evidence available		
GATA2	2624	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0013540	
GATA3	2625	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0007797	
GATA4	2626	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0011938	
GATA6	2627	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010802	
GATAD1	57798	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0013848	
GATAD2B	57459	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0014034	
GBA	2629	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0018150	
GBA2	57704	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0013737	
GBE1	2632	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009292	
GCDH	2639	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009281	
GCH1	2643	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0007495	
GCSH	2653	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0011612	
GDF2	2658	0	No evidence available	0	No evidence available		
GDF5	8200	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0007221	
GDI1	2664	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0010451	
GEN1	348654	40	Dosage sensitivity unlikely	0	No evidence available		
GFER	2671	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013116	
GFM1	85476	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0012191	
GIGYF2	26058	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0100038	
GIPC3	126326	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0011160	
GJA1	2697	0	No evidence available	0	No evidence available		
GJA5	2702	1	Little evidence for dosage pathogenicity	0	No evidence available		
GJA8	2703	1	Little evidence for dosage pathogenicity	0	No evidence available		
GJB2	2706	40	Dosage sensitivity unlikely	0	No evidence available		
GJB6	10804	0	No evidence available	0	No evidence available		
GK	2710	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010613	
GLA	2717	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010526	
GLB1	2720	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0018149	
GLDC	2731	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0011612	
GLI2	2736	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0012563	
GLI3	2737	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0008287	
GLIS3	169792	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0012436	
GLMN	11146	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0007672	
GLRB	2743	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013828	
GLUL	2752	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0012393	
GMPPA	29926	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0014219	
GNAI3	2773	0	No evidence available	0	No evidence available		
GNAO1	2775	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0100062	
GNAS	2778	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0012912	
GNB1	2782	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0014855	
GNPAT	8443	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009112	
GNRH1	2796	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013914	
GNS	2799	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009658	
GOLGA2P2Y	84559	0	No evidence available	0	No evidence available		
GORAB	92344	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009271	
GP1BB	2812	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009276	
GP6	51206	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013623	
GPC3	2719	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0020602	
GPC5	2262	0	No evidence available	0	No evidence available		
GPC6	10082	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009779	
GPD1	2819	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013771	
GPHN	10243	2	Some evidence for dosage pathogenicity	0	No evidence available	MONDO:0100038	
GPIHBP1	338328	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0014412	
GPR148	344561	0	No evidence available	0	No evidence available		
GPR179	440435	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013807	
GPSM2	29899	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0011411	
GPX4	2879	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009593	
GRB10	2887	0	No evidence available	0	No evidence available		
GREM1	26585	0	No evidence available	0	No evidence available		
